Scholarship_ID,scholarship_name,scholarship_url
49,"Decommissioning, Decontamination and Reutilization Scholarship",https://ans.org/honors/scholarships/ddrd-masters/
50,Sarah Bradley Tyson Memorial Fellowship,https://wnfga.org/scholarships/fellowships/
51,Society of Women Engineers Scholarship Program,https://scholarships.swe.org/applications/login.asp
52,American Water Works Association Academic Achievement Award,https://www.awwa.org/Membership-Volunteering/Awards/Academic-Achievement-Award
53,Thomas R. Camp Scholarship,https://www.awwa.org/Membership-Volunteering/Students-Young-Professionals/AWWA-Scholarships#10003656-thomas-r-camp-scholarship
54,Carollo Engineers Scholarship,https://www.carollo.com/node/1301
55,Larson Aquatic Research Support Scholarship,https://www.awwa.org/Membership-Volunteering/Students-Young-Professionals/AWWA-Scholarships#9998643-awwa-larson-aquatic-research-support-scholarships
56,Holly A. Cornell Scholarship,https://www.awwa.org/Membership-Volunteering/Students-Young-Professionals/AWWA-Scholarships#9998642-holly-a-cornell-scholarship
57,Hazen and Sawyer Scholarship,https://www.awwa.org/Membership-Volunteering/Students-Young-Professionals/AWWA-Scholarships#10003651-hazen-and-sawyer-scholarship
58,National Physical Science Consortium Graduate Fellowship,https://stemfellowships.org/
59,AT&T Labs Research Fellowship,https://about.att.com/sites/labs_research/careers
60,David M. Dolan Scholarship,http://iaglr.org/scholarships/dolan-scholarship/
61,AICPA Scholarship for Minority Accounting Students,https://www.aicpa.org/career/diversityinitiatives/smas.html
62,ALPFA Scholarship,https://www.alpfa.org/page/2020_scholarship
63,BadCredit.org's Wealth Wise Scholarship,https://www.badcredit.org/scholarship/
64,Ernst and Young Scholarships (The EY Scholarship),https://www.ey.com/Publication/vwLUAssets/EY-scholarship-program/%24FILE/EY-scholarship-program.pdf
65,Marathon Oil College Scholarship Program,https://www.hsf.net/scholarship
66,AICPA John L. Carey Scholarship,https://www.aicpa.org/interestareas/accountingeducation/resources/john-l.-carey-scholarship-program.html
67,MACPA Scholarships,https://www.careeronestop.org/toolkit/training/find-scholarships.aspx?keyword=accounting&sortcolumns=BestMatch&sortdirections=&lang=en&currentpage=3&awardTypefilter=4294967287&georestrictionfilter=4294967283&studyLevelfilter=4294967284&Livefillall=y&Whefillall=y&scholarshipid=9994986
68,Minorities in Government Finance Scholarship,https://www.gfoa.org/gfoa-scholarships
69,NABA National Scholarship Program,https://www.nabainc.org/content.asp?contentid=145
70,Ritchie-Jennings Memorial Scholarship Program,https://www.acfe.com/scholarship/
71,Sam Gallant Memorial Scholarships,https://www.ascpa.com/become_a_cpa/scholarships
72,The Tatiana Mendez Future Resources Scholarships,http://criminallawsvirginia.com/wp-content/uploads/2015/10/Tatiana-Mendez-Future-Resources-Scholarship1.pdf
73,AIGA Worldstudio Scholarship,https://www.aiga.org/worldstudio-scholarship
74,Vercille Voss Graduate Student Scholarship,https://cdn.website-editor.net/63d65bd0e22744e982afd20bf6a1e55d/files/uploaded/Vercille_Voss_%2520Grad.pdf
75,Joel Polsky Academic Achievement Award,https://www.asid.org/resources/awards/scholarships-and-grants
76,Legacy Scholarship for Graduate Students,https://www.asid.org/resources/awards/scholarships-and-grants
77,David Barrett Memorial Scholarship,https://www.asid.org/resources/awards/scholarships-and-grants
78,HGA Scholarship,https://weavespindye.org/scholarships/
79,Goldberg-Miller Public Finance Scholarship,https://www.gfoa.org/detail/available-scholarships
80,Frank L. Greathouse Government Accounting Scholarship,https://www.gfoa.org/detail/available-scholarships
81,Minorities in Government Finance Scholarship,https://www.gfoa.org/detail/available-scholarships
82,Government Finance Professional Development Scholarship,https://www.gfoa.org/detail/available-scholarships
83,"MG Eugene C. Renzi, USA (Ret.) STEM Teachers Scholarship",https://www.afcea.org/site/?q=foundation/scholarships/stem-teacher
84,SILA Post Secondary College Scholarship,http://www.silafoundation.org/scholarships/post-secondary-college-scholarship/
85,Stuart Cameron and Margaret McLeod Memorial Scholarship,https://www.petersons.com/scholarship/stuart-cameron-and-margaret-mcleod-memorial-scholarship-111_173149.aspx
86,Mary Elizabeth Lockwood Beneventi MBA Scholarship,https://www.dar.org/national-society/scholarships/specific-scholarships-0
87,William Robert Findley Graduate Chemistry Scholarship,https://www.dar.org/national-society/scholarships/specific-scholarships-0
88,Leo W. and Alberta V. Thomas Utz Scholarship — English,https://www.dar.org/national-society/scholarships/specific-scholarships-0
89,Leo W. and Alberta V. Thomas Utz Scholarship — Math,https://www.dar.org/national-society/scholarships/specific-scholarships-0
90,Leo W. and Alberta V. Thomas Utz Scholarship — Science,https://www.dar.org/national-society/scholarships/specific-scholarships-0
91,AMIA Scholarship Program,https://amianet.org/wp-content/uploads/About-Scholarships-Sony-Universal-Chace.pdf
92,George Blood Women in Audiovisual Archiving and Technology Scholarship,https://amianet.org/about/scholarships/
93,DAAD Study Scholarship,https://www.daad.org/en/find-funding/graduate-opportunities/study-scholarship/
94,Ralph W. Shrader Graduate Diversity Scholarship,https://www.afcea.org/site/?q=foundation/scholarships/HBCU-scholarship
95,AAUW Selected Professions Fellowships,https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/selected-professions-fellowships/
96,ABA Foundation Diversity Scholarships,https://www.buses.org/aba-foundation/scholarships/diversity
97,Arthur Lockwood Beneventi Law Scholarship,https://www.dar.org/national-society/scholarships/specific-scholarships-0
98,A.T. Anderson Memorial Scholarship Program,https://www.aises.org/scholarships/at-anderson-scholarship-2020-2021
99,Hubertus W.V. Willems Scholarship for Male Students,https://www.poisefoundation.org/the-hubertus-wv-willems-scholarship-for-male-students
100,Sigma Alpha Iota Music Business/Technology Scholarship,http://app.smarterselect.com/programs/32012-Sigma-Alpha-Iota-International-Music-Fraternity
