University_ID,University_Name,avg_pay_scale,Delivery_Mode,Duration,Term,Year_of_Joining,Major,Location,Cost_of_Living,Avg_Fees,GRE,TOEFL,IELTS
44,"University of Minnesota, Twin Cities",72300,On-Campus,2,Fall,2022,DSBI,Twin cities,17009,40766,Waived,79,6.5
45,"University of South Carolina, Columbia",100000,On-Campus,2,Fall,2022,MSCS,Columbia,6500,67856,None,80,6.5
46,University of South Florida,60000,On-Campus,2,Fall,2022,MSCS,Florida,15000,26430,312,96,7
47,University of Southern California,85000,On-Campus,1.8,Fall,2022,MSCS,California,65798,64651,Waived,90,6.5
48,"University of Texas, Arlington",85000,On-Campus,2,Fall,2023,MSCS,Arlington,17000,46972,305,79,6.5
49,"University of Texas, Austin",67839,On-Campus,1.8,Fall,2022,MSECE,Austin ,35022,30900,324,109,6.5
50,"University of Texas, Dallas",87000,On-Campus,1.8,Fall,2022,MSITM,Dallas,20000,53685,None,98,7
51,"University of the Pacific, Stockton",72000,On-Campus,1,Fall,2022,MSCS,Stockton,39998,46980,311,96,7
52,Virginia Tech University,66600,On-Campus,2,Fall,2023,MSCS,Virginia,21301,48780,Waived,90,6.5
53,Wayne State University,50700,On-Campus,2,Fall,2023,MSCS,Wayne,44197,25710,Waived,79,6.5
54,West Virginia University Institute of Technology,39300,On-Campus,1.8,Fall,2023,MSCS,West Virginia,31106,44919,300,79,6.5
55,Western Michigan University,66400,On-Campus,2,Fall,2022,MSCS,Michigan,10567,16440,Waived,80,6.5
56,Western University,69000,On-Campus,1.8,Fall,2022,MSCS,London,21585,25816,None,92,6.5
57,"University Of California, Berkeley",76909,On-Campus,2,Fall,2022,MSCS,California,39094,53604,300,80,6.5
58,Carnegie Mellon University,99998,On-Campus,2,Fall ,2022,MSCS,Pennsylvania,16740,61000,Waived,108,7.5
59,University of Phoenix ,78000,On-Campus,1.8,Fall,2022,MSIS,Arizona,15818,11179,Waived,79,6.5
60,North Carolina State University,47208,On-Campus,2,Fall,2022,MSCS,North Carolina,15885,48732,301,106,8
61,University of Illinois Chicago,60240,On-Campus,1.8,Fall,2023,MSCS,Chicago,55728,19008,300,80,6.5
62,University of Maryland Baltimore,70300,On-Campus,2,Fall,2023,MSIS,Maryland,14736,45670,305,80,6.5
63,San Diego State University,59027,On-Campus,1.8,Fall,2023,MSCS,California,15735,14760,Waived,80,6.5
64,Ohio State University,43187,On-Campus,2,Fall,2022,MSIS,Ohio,13966,63379,300,79,7
65,University of Washington,60937,On-Campus,2,Fall,2022,MSCS,Washington,32090,59754,Waived,92,7
